movie_title,Cast and crew,year,director_name,actor_1_name,actor_2_name,actor_3_name,comb
underworld: blood wars,"Anna Foerster (director); Cory Goodman (screenplay); Kate Beckinsale, Theo James, Lara Pulver, James Faulkner, Charles Dance",2017,Anna Foerster,Kate Beckinsale,Theo James,Lara Pulver,Kate Beckinsale Theo James Lara Pulver Anna Foerster
arsenal,"Steven C. Miller (director); Jason Mosberg (screenplay); Adrian Grenier, John Cusack, Nicolas Cage, Johnathon Schaech",2017,Steven C. Miller,Adrian Grenier,John Cusack,Nicolas Cage,Adrian Grenier John Cusack Nicolas Cage Steven C. Miller
between us,"Rafael Palacio Illingworth (director/screenplay); Olivia Thirlby, Ben Feldman, Adam Goldberg, Analeigh Tipton, Scott Haze, Peter Bogdanovich, Lesley Ann Warren",2017,unknown,Olivia Thirlby,Ben Feldman,Adam Goldberg,Olivia Thirlby Ben Feldman Adam Goldberg unknown
monster trucks,"Chris Wedge (director); Derek Connolly (screenplay); Lucas Till, Jane Levy, Barry Pepper, Thomas Lennon, Rob Lowe, Danny Glover, Amy Ryan, Holt McCallany, Frank Whaley",2017,Chris Wedge,Lucas Till,Jane Levy,Barry Pepper,Lucas Till Jane Levy Barry Pepper Chris Wedge
the bye bye man,"Stacy Title (director); Jonathan Penner (screenplay); Douglas Smith, Michael Trucco, Lucien Laviscount, Cressida Bonas, Doug Jones, Carrie-Anne Moss, Faye Dunaway, Jenna Kanell",2017,Stacy Title,Douglas Smith,Michael Trucco,Lucien Laviscount,Douglas Smith Michael Trucco Lucien Laviscount Stacy Title
sleepless,"Baran bo Odar (director); Andrea Berloff (screenplay); Jamie Foxx, Michelle Monaghan, Dermot Mulroney, David Harbour, T.I., Gabrielle Union, Scoot McNairy",2017,Baran bo Odar,Jamie Foxx,Michelle Monaghan,Dermot Mulroney,Jamie Foxx Michelle Monaghan Dermot Mulroney Baran bo Odar
the book of love,"Bill Purple (director/screenplay); Robbie Pickering (screenplay); Jason Sudeikis, Jessica Biel, Maisie Williams, Mary Steenburgen, Orlando Jones, Paul Reiser",2017,unknown,Jason Sudeikis,Jessica Biel,Maisie Williams,Jason Sudeikis Jessica Biel Maisie Williams unknown
split,"M. Night Shyamalan (director/screenplay); James McAvoy, Anya Taylor-Joy, Betty Buckley",2017,unknown,James McAvoy,Anya Taylor-Joy,Betty Buckley,James McAvoy Anya Taylor-Joy Betty Buckley unknown
xxx: return of xander cage,"D. J. Caruso (director); F. Scott Frazier (screenplay); Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu, Ruby Rose, Tony Jaa, Nina Dobrev, Toni Collette, Samuel L. Jackson",2017,D. J. Caruso,Vin Diesel,Donnie Yen,Deepika Padukone,Vin Diesel Donnie Yen Deepika Padukone D. J. Caruso
the resurrection of gavin stone,"Dallas Jenkins (director); Andrea Gyertson Nasfell (screenplay); Brett Dalton, Anjelah Johnson, Neil Flynn, Shawn Michaels, D. B. Sweeney",2017,Dallas Jenkins,Brett Dalton,Anjelah Johnson,Neil Flynn,Brett Dalton Anjelah Johnson Neil Flynn Dallas Jenkins
trespass against us,"Adam Smith (director); Alastair Siddons (screenplay); Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Killian Scott, Rory Kinnear, Sean Harris",2017,Adam Smith,Michael Fassbender,Brendan Gleeson,Lyndsey Marshal,Michael Fassbender Brendan Gleeson Lyndsey Marshal Adam Smith
sophie and the rising sun,"Maggie Greenwald (director/screenplay); Julianne Nicholson, Takashi Yamaguchi, Margo Martindale, Diane Ladd, Lorraine Toussaint, Karen Wheeling Reynolds",2017,unknown,Julianne Nicholson,Takashi Yamaguchi,Margo Martindale,Julianne Nicholson Takashi Yamaguchi Margo Martindale unknown
a dog's purpose,"Lasse Hallström (director); W. Bruce Cameron, Cathryn Michon, Audrey Wells, Maya Forbes, Wallace Wolodarsky (screenplay); Britt Robertson, KJ Apa, John Ortiz, Dennis Quaid, Josh Gad",2017,Lasse Hallström,Britt Robertson,KJ Apa,John Ortiz,Britt Robertson KJ Apa John Ortiz Lasse Hallström
resident evil: the final chapter,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts, Eoin Macken, Ruby Rose, William Levy",2017,unknown,Milla Jovovich,Iain Glen,Ali Larter,Milla Jovovich Iain Glen Ali Larter unknown
